Edad;Sexo;Periodo;Total
De 60 a 64 años;Mujeres;2009;11,1
De 60 a 64 años;Mujeres;2008;8,24
De 60 a 64 años;Mujeres;2007;6,83
De 60 a 64 años;Mujeres;2006;5,53
De 65 a 69 años;Ambos sexos;2021;6,34
De 65 a 69 años;Ambos sexos;2020;6,32
De 65 a 69 años;Ambos sexos;2019;7,01
De 65 a 69 años;Ambos sexos;2018;5,68
De 65 a 69 años;Ambos sexos;2017;4,8
De 65 a 69 años;Ambos sexos;2016;4,68
De 65 a 69 años;Ambos sexos;2015;4,79
De 65 a 69 años;Ambos sexos;2014;6,09
De 65 a 69 años;Ambos sexos;2013;7,89
De 65 a 69 años;Ambos sexos;2012;4,96
De 65 a 69 años;Ambos sexos;2011;2,05
De 65 a 69 años;Ambos sexos;2010;3,07
De 65 a 69 años;Ambos sexos;2009;3,52
De 65 a 69 años;Ambos sexos;2008;3,23
De 65 a 69 años;Ambos sexos;2007;1,77
De 65 a 69 años;Ambos sexos;2006;2,15
De 65 a 69 años;Hombres;2021;6,33
De 65 a 69 años;Hombres;2020;5,19
De 65 a 69 años;Hombres;2019;6,16
De 65 a 69 años;Hombres;2018;6,29
De 65 a 69 años;Hombres;2017;4,93
De 65 a 69 años;Hombres;2016;3,14
De 65 a 69 años;Hombres;2015;4,84
De 65 a 69 años;Hombres;2014;5,02
De 65 a 69 años;Hombres;2013;8,19
De 65 a 69 años;Hombres;2012;5,21
De 65 a 69 años;Hombres;2011;1,25
De 65 a 69 años;Hombres;2010;4,23
De 65 a 69 años;Hombres;2009;4,07
De 65 a 69 años;Hombres;2008;1,85
De 65 a 69 años;Hombres;2007;1,39
De 65 a 69 años;Hombres;2006;2,2
De 65 a 69 años;Mujeres;2021;6,35
De 65 a 69 años;Mujeres;2020;7,71
De 65 a 69 años;Mujeres;2019;8,03
De 65 a 69 años;Mujeres;2018;4,9
De 65 a 69 años;Mujeres;2017;4,61
De 65 a 69 años;Mujeres;2016;6,54
De 65 a 69 años;Mujeres;2015;4,74
De 65 a 69 años;Mujeres;2014;7,55
De 65 a 69 años;Mujeres;2013;7,49
De 65 a 69 años;Mujeres;2012;4,61
De 65 a 69 años;Mujeres;2011;3,01
De 65 a 69 años;Mujeres;2010;1,58
De 65 a 69 años;Mujeres;2009;2,73
De 65 a 69 años;Mujeres;2008;5,64
De 65 a 69 años;Mujeres;2007;2,58
De 65 a 69 años;Mujeres;2006;2,02
70 y más años;Ambos sexos;2021;2,21
70 y más años;Ambos sexos;2020;1,45
70 y más años;Ambos sexos;2019;0,8
70 y más años;Ambos sexos;2018;0,51
70 y más años;Ambos sexos;2017;1,6
70 y más años;Ambos sexos;2016;3,43
70 y más años;Ambos sexos;2015;1,56
70 y más años;Ambos sexos;2014;2,26
70 y más años;Ambos sexos;2013;1,08
70 y más años;Ambos sexos;2012;1,2
70 y más años;Ambos sexos;2011;2,08
70 y más años;Ambos sexos;2010;1,02
70 y más años;Ambos sexos;2009;0,6
70 y más años;Ambos sexos;2008;0,44
70 y más años;Ambos sexos;2007;0,73
70 y más años;Ambos sexos;2006;0,83
70 y más años;Hombres;2021;2,19
70 y más años;Hombres;2020;1,31
70 y más años;Hombres;2019;1,14
70 y más años;Hombres;2018;0
70 y más años;Hombres;2017;0,73
70 y más años;Hombres;2016;3,85
70 y más años;Hombres;2015;1,97
70 y más años;Hombres;2014;2,66
70 y más años;Hombres;2013;0,44
70 y más años;Hombres;2012;0,16
70 y más años;Hombres;2011;2,42
70 y más años;Hombres;2010;1,39
70 y más años;Hombres;2009;0
70 y más años;Hombres;2008;0
70 y más años;Hombres;2007;0,5
70 y más años;Hombres;2006;0,37
70 y más años;Mujeres;2021;2,26
70 y más años;Mujeres;2020;1,71
70 y más años;Mujeres;2019;0,11
70 y más años;Mujeres;2018;1,53
70 y más años;Mujeres;2017;2,93
70 y más años;Mujeres;2016;2,71
70 y más años;Mujeres;2015;0,77
70 y más años;Mujeres;2014;1,63
70 y más años;Mujeres;2013;1,96
